language,x,y,geo,family
Afrikaans,8.36E+01,-1.16E+01,6,5
Albanian,1.55E+01,1.69E+01,5,8
Amharic,-1.24E+02,-1.05E+02,6,12
Arabic,-4.95E+01,1.03E+02,6,12
Armenian,-6.59E+01,-5.54E+00,7,8
Azeri,-1.03E+02,-8.15E+01,7,9
Bengali,-2.53E+00,-1.63E+02,9,11
Catalan,5.05E+01,3.39E+01,2,7
Chinese,3.62E+01,-5.95E+00,10,15
Croatian,-8.42E+00,-8.17E+00,5,2
Czech,5.50E+01,-7.48E+01,5,1
Danish,9.94E+01,-2.58E+01,3,4
Dutch,3.94E+01,-5.22E+01,2,5
English,1.53E+01,1.58E-01,3,4
Estonian,-4.27E+01,-1.07E+02,4,10
Finnish,5.63E+01,1.15E+02,3,10
French,-7.75E+01,-7.98E+01,2,7
Georgian,-1.66E+02,-5.47E+01,7,3
German,2.88E+01,-1.38E+02,2,5
Greek,2.64E+01,5.43E+01,5,8
Gujarati,1.80E+01,-1.59E+02,9,11
Hebrew,-2.39E+01,-3.93E+01,6,12
Hindi,1.64E+01,-5.00E+01,9,11
Hungarian,-1.24E+02,2.87E+01,5,10
Icelandic,-9.13E-02,7.46E+01,3,4
Indonesian,-1.45E+02,2.55E+01,10,14
Italian,-6.64E+01,-9.95E+01,2,7
Japanese,-1.26E+02,-7.00E+01,10,15
Kannada,-1.28E+02,-1.32E+01,9,11
Kazakh,-6.81E+01,2.80E+01,7,9
Khmer,-5.97E+01,1.15E+01,9,11
Korean,-3.79E+01,4.28E+01,10,15
Latvian,-1.29E+02,5.76E+01,4,1
Lithuanian,3.27E+01,-1.74E+02,4,1
Macedonian,4.58E+01,-9.62E+01,5,2
Malayalam,-1.50E+02,-7.19E+01,9,11
Malaysian,-4.37E+01,2.03E+01,10,14
Mongolian,5.23E+01,7.65E+01,10,3
Nepali,5.06E+01,9.10E+01,9,11
Norwegian,5.54E+01,1.36E+02,3,4
Persian,7.27E+01,6.97E+01,8,9
Polish,-1.01E+02,-2.70E+01,4,1
Portuguese_Brazil,2.38E+01,3.35E+01,1,7
Portuguese_Europe,9.18E+01,8.15E+00,2,7
Punjabi,1.15E+02,8.80E+01,9,11
Romanian,1.12E+02,1.01E+02,5,7
Russian,-1.63E+02,-9.03E+01,8,3
Serbian,7.63E+01,-7.35E+01,5,1
Sinhala,-3.15E+00,3.56E+01,9,13
Slovak,-3.94E+01,-5.95E+01,5,1
Slovenian,-4.24E+01,8.43E+01,5,2
Spanish_South_America,-8.56E+01,-3.83E+01,1,7
Spanish_Spain,-8.82E+01,5.21E+00,2,7
Swahili,,,6,0
Swedish,,,3,4
Tagalog,,,10,14
Tamil,,,9,11
Telugu,,,9,11
Turkish,,,7,9
Ukrainian,,,4,3
Urdu,,,9,11
Uzbek,,,8,9
Vietnamese,,,10,11
Welsh,,,3,6